Date,Open,High,Low,Close,Adj Close,Volume
2002-08-15,44.200001,46.500000,42.520000,45.400002,29.526979,27096000
2002-08-22,45.400002,45.980000,41.810001,42.480000,27.627880,20888200
2002-08-29,42.000000,43.720001,39.480000,41.360001,26.899473,20667900
2002-09-05,40.250000,43.709999,38.799999,40.340000,26.236084,22058700
2002-09-12,40.259998,40.950001,37.610001,38.099998,24.779245,21225200
2002-09-19,36.020000,36.700001,32.750000,34.689999,22.561468,40720200
2002-09-26,34.700001,36.240002,32.700001,34.000000,22.112717,28719800
2002-10-03,33.750000,33.869999,29.100000,29.309999,19.185720,40080100
2002-10-10,29.040001,37.650002,28.799999,36.459999,23.865953,39321200
2002-10-17,38.400002,38.900002,36.389999,38.020000,24.887104,28775900
2002-10-24,38.480000,39.410000,36.590000,38.090000,24.932936,23675600
2002-10-31,38.650002,42.599998,38.139999,42.330002,27.708353,29435400
2002-11-07,41.540001,41.549999,37.950001,39.590000,25.914791,23034300
2002-11-14,40.500000,43.689999,40.389999,43.509998,28.480751,30409800
2002-11-21,43.520000,46.830002,43.520000,45.980000,30.097563,31056200
2002-11-28,45.750000,46.700001,43.450001,44.020000,28.814577,16935300
2002-12-05,44.029999,44.029999,40.619999,41.599998,27.230499,25831200
2002-12-12,42.330002,44.049999,40.830002,41.099998,26.903208,24009900
2002-12-19,40.630001,42.389999,39.599998,41.500000,27.165039,19530800
2002-12-26,41.520000,42.580002,39.389999,39.919998,26.130806,12413100
2003-01-02,40.160000,43.799999,39.570000,41.919998,27.439968,20709500
2003-01-09,41.930000,44.389999,41.930000,43.099998,28.363316,21739200
2003-01-16,43.110001,43.349998,39.180000,39.270000,25.842857,18313300
2003-01-23,40.389999,40.900002,36.750000,37.799999,24.875479,29746700
2003-01-30,38.130001,38.799999,36.779999,37.020000,24.362169,25774800
2003-02-06,36.650002,37.450001,34.520000,34.700001,22.835424,22280700
2003-02-13,34.750000,36.930000,34.320000,36.930000,24.302950,20772300
2003-02-20,36.939999,37.209999,34.950001,35.419998,23.309233,24354600
2003-02-27,35.650002,37.830002,35.430000,37.130001,24.434568,27898500
2003-03-06,36.500000,37.049999,32.459999,33.570000,22.091785,32173100
2003-03-13,33.570000,39.790001,33.570000,39.480000,25.981050,36700500
2003-03-20,39.150002,41.730000,38.610001,40.509998,26.658878,32320700
2003-03-27,40.509998,42.099998,38.349998,41.799999,27.507801,26033600
2003-04-03,41.840000,43.700001,41.419998,41.430000,27.264322,25445000
2003-04-10,41.439999,45.130001,40.560001,44.189999,29.239153,28847400
2003-04-17,44.189999,48.029999,44.119999,47.790001,31.621159,23522100
2003-04-24,47.790001,47.790001,43.669998,44.750000,29.609688,38116400
2003-05-01,44.750000,46.099998,43.570000,45.250000,29.940527,26923400
2003-05-08,44.250000,45.820000,43.930000,44.330002,29.331783,23074000
2003-05-15,44.580002,45.020000,41.779999,42.990002,28.445148,24571900
2003-05-22,42.869999,45.250000,41.930000,44.900002,29.708939,18996100
2003-05-29,44.980000,48.290001,44.500000,48.000000,31.760120,29624500
2003-06-05,48.000000,49.990002,47.250000,49.450001,32.719524,24595800
2003-06-12,49.700001,50.490002,46.549999,46.889999,31.025648,28040500
2003-06-19,45.849998,46.070000,42.689999,43.799999,28.981104,42106000
2003-06-26,44.250000,45.549999,42.419998,44.970001,29.755255,30505300
2003-07-03,44.619999,47.980000,44.500000,47.320000,31.310190,25880400
2003-07-10,47.320000,49.400002,45.750000,47.680000,31.702269,30932500
2003-07-17,47.680000,47.680000,45.650002,47.259998,31.423021,22738200
2003-07-24,47.259998,48.740002,47.259998,47.520000,31.595886,19885300
2003-07-31,48.180000,48.799999,44.779999,47.090000,31.309992,26457600
2003-08-07,47.099998,48.980000,46.770000,48.520000,32.260792,20842000
2003-08-14,48.599998,49.740002,47.930000,49.070000,32.626484,16985900
2003-08-21,49.500000,49.950001,47.360001,47.759998,31.755470,17748000
2003-08-28,47.849998,50.000000,47.450001,48.939999,32.540043,16650900
2003-09-04,48.799999,49.540001,47.810001,48.000000,31.915033,23710300
2003-09-11,48.470001,52.310001,47.830002,51.990002,34.567978,29654700
2003-09-18,52.200001,53.099998,50.250000,50.770000,33.756802,33497000
2003-09-25,50.549999,52.060001,49.779999,51.990002,34.567978,27342900
2003-10-02,52.029999,54.139999,51.799999,53.250000,35.405743,24375000
2003-10-09,53.900002,54.480000,53.099998,53.619999,35.804253,18161900
2003-10-16,53.560001,53.939999,50.950001,51.200001,34.188335,15807700
2003-10-23,51.200001,54.290001,50.720001,53.900002,35.991226,22245400
2003-10-30,53.080002,56.889999,53.080002,55.049999,36.759121,21524600
2003-11-06,55.049999,57.930000,54.000000,57.830002,38.615440,20241900
2003-11-13,57.450001,58.070000,52.889999,53.389999,35.650677,28281000
2003-11-20,54.040001,55.650002,52.540001,55.250000,36.892670,22248400
2003-11-27,54.709999,57.049999,54.709999,56.349998,37.627182,11607300
2003-12-04,56.250000,57.000000,54.400002,55.020000,36.739094,14593000
2003-12-11,54.900002,58.200001,54.900002,57.630001,38.481899,18125700
2003-12-18,55.750000,57.540001,55.200001,57.029999,38.081245,21167600
2003-12-25,57.230000,58.779999,57.230000,57.869999,38.642162,10179100
2004-01-01,57.889999,58.310001,56.759998,57.799999,38.595409,16863100
2004-01-08,57.799999,59.020000,56.750000,58.619999,39.313072,19789400
2004-01-15,59.000000,60.900002,58.900002,60.680000,40.694611,19054200
2004-01-22,60.680000,60.799999,56.889999,57.060001,38.266888,18720600
2004-01-29,57.400002,59.090000,56.759998,56.900002,38.159588,21951300
2004-02-05,56.950001,60.130001,55.919998,59.860001,40.144680,21873700
2004-02-12,59.529999,61.900002,58.750000,61.599998,41.311607,19309600
2004-02-19,61.730000,62.160000,59.150002,60.430000,40.526958,20786100
2004-02-26,60.049999,61.500000,59.520000,61.240002,41.070179,16293900
2004-03-04,61.360001,62.830002,59.250000,59.439999,39.863018,18916700
2004-03-11,59.439999,60.849998,58.400002,60.459999,40.547073,25232000
2004-03-18,59.599998,60.320000,55.689999,55.900002,37.488964,34390200
2004-03-25,56.389999,57.669998,56.040001,57.299999,38.427841,25622300
2004-04-01,57.480000,58.500000,55.980000,56.500000,37.891331,25157100
2004-04-08,56.750000,56.820000,52.599998,53.349998,35.937538,21872100
2004-04-15,53.430000,54.720001,52.029999,52.779999,35.553566,33246200
2004-04-22,52.400002,54.549999,52.099998,52.400002,35.297600,31548400
2004-04-29,52.400002,53.349998,51.070000,52.500000,35.364967,31921100
2004-05-06,51.799999,53.009998,50.220001,52.779999,35.553566,30539500
2004-05-13,52.480000,53.799999,50.349998,52.000000,35.028160,26879600
2004-05-20,52.259998,54.500000,51.910000,54.200001,36.510105,21141600
2004-05-27,54.450001,54.799999,52.639999,53.279999,35.890385,13741700
2004-06-03,52.799999,54.740002,52.000000,53.900002,36.308025,17601100
2004-06-10,53.700001,53.849998,50.830002,52.139999,35.122463,16997100
2004-06-17,51.950001,52.500000,50.520000,52.500000,35.364967,20204700
2004-06-24,52.549999,53.529999,52.009998,52.770000,35.546841,21378300
2004-07-01,52.650002,53.080002,49.500000,49.880001,33.600082,21241000
2004-07-08,49.930000,50.779999,48.689999,49.090000,33.230892,22664800
2004-07-15,48.950001,49.450001,47.029999,47.869999,32.405022,29858400
2004-07-22,47.750000,49.250000,46.919998,48.799999,33.034573,24173000
2004-07-29,49.349998,50.090000,48.619999,49.029999,33.190273,22811100
2004-08-05,49.080002,49.320000,46.540001,47.860001,32.398258,20035600
2004-08-12,47.750000,49.840000,46.830002,49.820000,33.725056,17609900
2004-08-19,49.700001,51.049999,49.040001,50.980000,34.510284,16702700
2004-08-26,50.279999,52.099998,50.220001,50.349998,34.083820,13666300
2004-09-02,50.480000,52.900002,50.080002,52.200001,35.336159,13411200
2004-09-09,52.000000,53.189999,51.279999,51.650002,34.963844,15808300
2004-09-16,51.840000,52.480000,48.049999,48.720001,32.980415,33868700
2004-09-23,48.500000,50.200001,48.459999,49.500000,33.508427,29717400
2004-09-30,49.299999,51.349998,48.709999,49.450001,33.474579,23143900
2004-10-07,49.450001,49.500000,48.099998,48.349998,32.896011,20378600
2004-10-14,48.430000,49.480000,47.270000,47.799999,32.521805,21781400
2004-10-21,47.700001,51.490002,47.660000,51.220001,34.848694,19873300
2004-10-28,51.220001,53.459999,50.880001,52.919998,36.005329,25935800
2004-11-04,52.799999,54.000000,51.560001,51.560001,35.080036,23516900
2004-11-11,51.720001,53.970001,51.400002,53.230000,36.216228,21681700
2004-11-18,53.299999,53.770000,51.090000,51.349998,34.937141,18748500
2004-11-25,51.139999,52.040001,50.430000,51.980000,35.365772,16881800
2004-12-02,51.700001,54.000000,51.700001,52.630001,35.808022,22303000
2004-12-09,52.630001,55.910000,51.910000,55.529999,37.781113,27905400
2004-12-16,54.950001,55.410000,52.840000,55.080002,37.474937,28377600
2004-12-23,54.700001,55.730000,54.599998,55.240002,37.583790,12977800
2004-12-30,55.240002,56.529999,54.759998,54.980000,37.406898,21218700
2005-01-06,55.950001,56.900002,54.500000,55.279999,37.611004,22834900
2005-01-13,54.900002,56.500000,54.900002,55.430000,37.897594,15528500
2005-01-20,55.020000,55.410000,53.860001,54.169998,37.036118,24741300
2005-01-27,54.000000,57.919998,53.529999,57.070000,39.018860,24927000
2005-02-03,56.950001,58.770000,56.799999,58.169998,39.770954,19982300
2005-02-10,58.279999,60.509998,58.099998,59.730000,40.837521,24485600
2005-02-17,59.480000,59.919998,56.660000,57.029999,38.991516,20295000
2005-02-24,57.150002,57.750000,56.150002,56.740002,38.793247,22623400
2005-03-03,57.180000,60.270000,56.189999,59.959999,40.994762,26940400
2005-03-10,60.000000,60.400002,57.349998,57.950001,39.620514,24783700
2005-03-17,57.700001,58.200001,54.700001,55.639999,38.041161,33468600
2005-03-24,55.480000,56.150002,53.580002,55.279999,37.795040,41515300
2005-03-31,57.500000,60.099998,55.980000,56.599998,38.697529,81718200
2005-04-07,56.150002,56.480000,52.799999,53.130001,36.325089,47890400
2005-04-14,52.500000,53.200001,50.000000,50.189999,34.485046,46525800
2005-04-21,50.669998,51.730000,49.770000,51.180000,35.165279,28040100
2005-04-28,51.000000,53.000000,48.820000,50.380001,34.615608,66962200
2005-05-05,50.389999,50.860001,48.560001,49.849998,34.251438,30838900
2005-05-12,50.090000,50.250000,47.660000,48.919998,33.612446,40294600
2005-05-19,48.970001,50.369999,48.660000,49.500000,34.010963,30041800
